User_ID,Product_ID,Product_Category,Rating,Price,Purchase_Status,Number_of_Views,Cart_Status,Time_Spent,Previous_Purchases
1178,5928,Beauty,4.0,6.17,0,6,1,4.29,4
2547,6243,Home & Kitchen,3.0,60.71,0,6,0,1.55,2
2309,5960,Electronics,3.0,73.38,0,7,1,6.04,4
1877,5891,Electronics,2.0,135.43,0,11,0,5.09,3
1866,5701,Beauty,3.0,23.96,1,5,0,2.77,2
2717,5367,Beauty,3.0,28.8,0,13,1,6.76,2
1171,5421,Beauty,4.0,15.89,0,9,1,2.72,4
2394,6118,Electronics,3.0,129.79,0,6,0,3.96,1
1402,5104,Beauty,2.0,10.87,0,7,0,0.53,8
1188,5126,Electronics,3.0,82.35,0,6,0,4.72,6
2052,5594,Electronics,4.0,46.61,1,12,1,3.49,3
2951,6161,Home & Kitchen,3.0,43.01,0,7,0,3.5,5
2471,5985,Beauty,3.0,49.12,0,10,0,2.51,4
2522,5884,Beauty,3.0,17.0,0,5,0,2.06,2
2434,5801,Books,4.0,8.04,1,6,1,2.96,1
2572,5166,Books,4.0,14.24,1,6,1,5.71,6
2026,5497,Home & Kitchen,3.0,27.51,0,8,1,,1
1256,5119,Sports,3.0,47.83,0,9,1,2.62,7
2679,6137,Electronics,3.0,75.16,1,4,0,0.31,2
1900,6126,Books,4.0,2.68,0,7,1,6.77,2
2000,5387,Home & Kitchen,3.0,10.53,1,7,1,0.2,4
1741,5439,Sports,5.0,13.56,0,13,1,5.75,4
1365,5476,Books,4.0,4.09,0,4,1,4.39,3
2853,6333,Sports,3.0,32.67,1,5,0,3.42,4
2563,5732,Books,3.0,3.22,1,11,1,3.13,5
2287,6143,Electronics,4.0,17.31,1,8,1,5.03,4
1804,5673,Fashion,,16.35,1,11,1,5.63,4
2645,6047,Beauty,3.0,38.65,0,7,0,5.49,4
2090,5792,Beauty,3.0,16.29,0,10,0,5.63,7
1886,5417,Electronics,2.0,84.39,0,10,0,1.69,8
1900,6314,Sports,3.0,62.31,0,12,0,3.0,8
1454,6063,Electronics,3.0,29.29,0,3,0,2.61,4
1184,6154,Books,3.0,26.78,0,9,0,4.01,1
2109,6422,Electronics,3.0,30.16,0,8,1,4.31,1
2775,5373,Home & Kitchen,5.0,24.8,1,4,1,5.25,1
1127,5137,Sports,4.0,72.8,0,6,0,3.74,1
2716,5873,Beauty,3.0,13.99,0,4,0,4.82,2
2655,5489,Sports,2.0,94.3,0,8,0,3.35,2
1553,5653,Sports,4.0,68.0,0,9,1,7.01,3
2263,5352,Books,5.0,6.36,1,7,1,2.88,2
1330,5597,Home & Kitchen,4.0,76.75,0,8,0,2.9,4
2516,5589,Books,3.0,2.53,0,4,0,4.05,7
2401,5525,Beauty,4.0,16.64,1,7,1,5.57,4
1709,6113,Books,3.0,10.63,0,9,1,2.76,3
1135,5888,Sports,3.0,22.01,0,8,0,3.44,4
2941,5711,Electronics,4.0,47.34,1,6,0,3.24,2
1891,5169,Beauty,4.0,20.19,0,9,0,2.38,4
2786,5856,Books,4.0,22.35,0,4,1,2.82,4
2355,5262,Electronics,3.0,183.35,0,11,0,2.97,5
2556,5471,Books,2.0,6.24,0,8,0,5.88,6
2519,5622,Electronics,3.0,44.87,0,3,0,3.81,2
1389,5211,Books,4.0,14.01,0,12,1,3.28,2
1727,5584,Sports,3.0,46.46,0,7,1,6.64,4
1933,5400,Electronics,3.0,139.74,0,7,0,6.56,4
1995,6274,Sports,3.0,64.57,0,8,0,6.47,3
1087,6289,Electronics,2.0,36.83,0,9,0,3.26,3
2093,5006,Beauty,4.0,6.34,1,11,1,5.55,1
1308,5903,Books,3.0,12.79,0,5,0,6.94,6
2486,5960,Fashion,5.0,27.08,0,6,0,3.2,3
2366,5566,Fashion,3.0,6.28,0,8,0,3.56,4
2845,5703,Home & Kitchen,4.0,11.46,0,9,0,3.27,3
2489,6184,Home & Kitchen,4.0,45.47,0,7,0,4.17,7
1733,5566,Electronics,4.0,59.5,1,5,1,6.46,3
