CustomerID,Age,Gender,AnnualIncome,TotalSpending,PurchaseFrequency,AverageOrderValue,DaysSinceLastPurchase,WebsiteVisits,DiscountUsage,CustomerRating,ProductCategory,PurchaseLikelihood
101117,29,Female,716485.01,57901.97,20,3350.53,104,10.0,47.22,3.21,Home & Kitchen,1
101369,28,Female,492725.95,5202.31,2,1367.2,121,3.0,2.02,4.49,Electronics,0
100423,25,Female,671648.49,12006.13,8,1973.96,17,22.0,26.11,4.22,Beauty,1
100414,31,Male,669769.54,9081.19,6,2775.51,0,14.0,3.22,3.65,Fashion,0
100452,27,Male,918361.07,8876.13,8,1105.09,6,24.0,14.02,2.72,Beauty,0
100862,55,Male,704768.61,66806.02,8,2064.61,50,9.0,26.94,2.52,Sports,0
101064,46,Female,672168.45,22252.54,23,2234.72,72,13.0,25.4,3.89,Fashion,0
100742,37,Male,475644.11,12851.69,6,1444.1,17,32.0,89.79,3.42,Home & Kitchen,1
101273,30,Male,379447.84,1576.81,2,960.76,131,0.0,6.62,3.43,Electronics,0
100260,30,Male,537293.93,200.0,5,2441.03,13,23.0,45.47,3.66,Fashion,1
100889,43,Male,1001272.25,55980.34,13,1878.94,156,12.0,27.69,2.76,Books,0
101433,43,Female,619092.17,4135.47,2,1073.03,110,4.0,13.86,1.74,Sports,0
100713,25,Male,599655.84,9538.53,17,1792.82,10,11.0,67.88,3.37,Sports,1
101383,54,Male,566284.61,3037.61,3,527.09,153,4.0,4.42,1.51,Beauty,1
100071,47,Female,1083562.43,86870.14,18,2462.08,5,46.0,15.92,4.95,Electronics,1
101269,36,Male,421641.31,2653.87,1,694.56,95,4.0,2.55,2.95,Home & Kitchen,0
101492,34,Male,484135.54,596.37,1,1373.23,155,6.0,5.46,2.14,Electronics,0
100608,31,Female,598139.51,14930.32,20,1081.38,11,12.0,69.59,3.29,Electronics,1
100434,21,Female,538840.07,12056.14,3,1904.54,13,27.0,24.88,3.65,Home & Kitchen,1
100052,32,Female,1007139.78,105555.3,27,3699.93,0,36.0,9.58,4.69,Home & Kitchen,1
101200,38,Male,408148.8,6157.01,1,509.51,157,6.0,7.4,2.28,Electronics,1
101129,42,Male,206782.11,2337.54,3,870.43,112,3.0,14.49,4.15,Electronics,0
101191,34,Male,477228.82,4028.75,1,1230.64,119,6.0,1.02,2.9,Fashion,1
101250,33,Female,557387.57,3336.44,4,651.84,178,0.0,0.0,4.8,Beauty,1
101420,41,Male,550908.07,2440.88,2,1568.46,181,4.0,20.18,3.61,Fashion,1
100433,31,Female,588090.74,7609.83,0,2899.53,16,39.0,12.78,4.54,Electronics,1
101453,32,Female,280038.72,1866.04,2,837.76,119,8.0,20.14,3.77,Electronics,0
101471,45,Female,554027.65,2432.87,1,1262.68,166,6.0,2.12,2.14,Beauty,0
101235,35,Female,621213.51,200.0,2,921.05,174,9.0,6.7,3.47,Home & Kitchen,0
101282,54,Male,764293.28,3692.94,0,1233.2,153,3.0,17.71,3.48,Beauty,1
101086,19,Female,917572.73,44610.28,18,1698.15,68,4.0,43.03,3.2,Beauty,1
100611,28,Female,704637.9,15369.58,10,867.58,15,33.0,65.5,3.72,Home & Kitchen,1
101285,20,Male,281304.83,3861.92,4,713.84,116,2.0,14.56,3.24,Home & Kitchen,0
101042,37,Female,1200885.31,28310.09,25,3315.02,115,11.0,43.4,3.24,Electronics,1
100221,32,Male,1171832.23,88970.05,19,3349.51,2,32.0,6.72,4.99,Fashion,1
100340,23,Male,839172.77,3474.64,5,1993.75,21,30.0,4.76,4.1,Home & Kitchen,1
100424,22,Male,567691.71,12018.41,3,2109.6,0,22.0,30.42,3.89,Beauty,0
100429,34,Male,1008064.8,10756.27,4,1930.08,4,34.0,28.2,3.28,Electronics,1
101106,55,Male,1315328.98,72533.31,17,1662.92,90,12.0,21.24,4.01,Electronics,1
100077,35,Female,938265.81,108628.9,30,2852.32,10,41.0,15.7,4.42,Home & Kitchen,1
101392,47,Male,503257.15,2172.27,2,819.57,159,1.0,7.32,2.0,Home & Kitchen,0
100440,26,Female,623481.32,8016.06,3,2389.67,23,20.0,25.99,4.17,Fashion,0
101337,19,Female,270797.48,6969.84,1,738.95,152,5.0,15.1,3.73,Home & Kitchen,0
100865,35,Female,662341.25,58674.33,11,2729.33,85,14.0,23.22,1.9,Home & Kitchen,0
101081,50,Female,1170320.17,63197.85,15,3224.01,106,10.0,35.52,2.8,Beauty,1
100355,33,Male,150000.0,6946.65,7,2933.69,8,30.0,19.27,3.32,Fashion,1
100366,21,Male,749909.64,6056.57,5,1897.88,14,36.0,25.27,4.01,Books,1
100310,26,Female,778661.41,7109.64,4,2162.08,17,27.0,14.9,3.75,Sports,1
100737,18,Female,321460.33,20547.07,6,1293.22,29,23.0,70.45,3.94,Home & Kitchen,0
100999,54,Female,1147162.24,51513.31,12,2771.69,66,7.0,31.94,3.0,Beauty,1
100622,39,Male,492099.61,23423.48,8,1466.53,22,25.0,34.46,3.62,Fashion,1
100544,19,Female,681870.75,20954.47,4,589.76,23,21.0,69.96,4.39,Fashion,0
101141,38,Female,449039.89,4772.08,2,854.42,137,3.0,2.33,1.52,Home & Kitchen,0
101297,20,Female,529281.76,3614.37,2,1197.04,116,0.0,21.25,2.88,Home & Kitchen,1
100555,41,Female,705619.17,34738.4,18,1275.07,26,25.0,97.43,4.79,Beauty,1
100680,29,Male,602109.62,25600.64,10,756.01,26,33.0,64.95,2.62,Fashion,0
100050,32,Male,724214.26,68617.1,28,3682.66,5,51.0,0.0,4.09,Books,1
100491,19,Female,995175.83,10918.44,4,2213.88,0,30.0,16.39,3.29,Beauty,1
100317,35,Female,773747.61,200.0,1,2294.19,11,21.0,27.44,3.97,Electronics,1
100905,29,Male,995674.99,80659.4,13,2320.52,117,6.0,33.13,3.85,Beauty,0
