customer_id,total_revenue,total_purchases,avg_rating,total_pages_viewed,total_time_on_site,total_cart_abandoned,total_sessions,avg_order_value,avg_session_value,pages_per_session,time_per_session_min,purchase_rate,abandon_rate,purchase_likelihood
1000,1228.72,1,3.5,35,2028,1,2,1228.72,614.36,17.5,16.9,0.5,0.5,1
1001,0.0,0,4.0,15,996,0,1,0.0,0.0,15.0,16.6,0.0,0.0,0
1002,0.0,0,4.0,25,941,2,3,0.0,0.0,8.333333333333334,5.227777777777778,0.0,0.6666666666666666,0
1003,1681.96,1,4.333333333333333,17,2086,0,3,1681.96,560.6533333333333,5.666666666666667,11.58888888888889,0.3333333333333333,0.0,1
1004,0.0,0,4.0,37,2771,1,3,0.0,0.0,12.333333333333334,15.394444444444444,0.0,0.3333333333333333,0
1005,0.0,0,4.0,42,937,2,3,0.0,0.0,14.0,5.205555555555555,0.0,0.6666666666666666,0
1006,0.0,0,4.0,27,2290,1,2,0.0,0.0,13.5,19.083333333333332,0.0,0.5,0
1007,0.0,0,4.0,22,557,0,1,0.0,0.0,22.0,9.283333333333333,0.0,0.0,0
1008,1546.42,1,4.0,49,4146,1,5,1546.42,309.284,9.8,13.82,0.2,0.2,1
1009,4616.63,3,4.2,55,4033,2,5,1538.8766666666668,923.326,11.0,13.443333333333333,0.6,0.4,1
1011,0.0,0,4.0,43,3577,2,4,0.0,0.0,10.75,14.904166666666667,0.0,0.5,0
1012,0.0,0,4.0,38,2100,1,3,0.0,0.0,12.666666666666666,11.666666666666666,0.0,0.3333333333333333,0
1013,0.0,0,4.0,39,534,0,2,0.0,0.0,19.5,4.45,0.0,0.0,0
1014,2423.92,1,4.25,47,3940,1,4,2423.92,605.98,11.75,16.416666666666668,0.25,0.25,1
1015,0.0,0,4.0,3,1405,1,1,0.0,0.0,3.0,23.416666666666668,0.0,1.0,0
1016,0.0,0,4.0,2,1523,0,1,0.0,0.0,2.0,25.383333333333333,0.0,0.0,0
1017,0.0,0,4.0,20,1131,1,2,0.0,0.0,10.0,9.425,0.0,0.5,0
1018,0.0,0,4.0,22,875,1,1,0.0,0.0,22.0,14.583333333333334,0.0,1.0,0
1019,0.0,0,4.0,10,1096,0,1,0.0,0.0,10.0,18.266666666666666,0.0,0.0,0
1020,0.0,0,4.0,41,4661,3,4,0.0,0.0,10.25,19.420833333333334,0.0,0.75,0
1021,0.0,0,4.0,33,5684,3,5,0.0,0.0,6.6,18.946666666666665,0.0,0.6,0
1022,0.0,0,4.0,6,1751,0,1,0.0,0.0,6.0,29.183333333333334,0.0,0.0,0
1023,0.0,0,4.0,11,650,1,2,0.0,0.0,5.5,5.416666666666667,0.0,0.5,0
1024,0.0,0,4.0,21,1548,0,2,0.0,0.0,10.5,12.9,0.0,0.0,0
1025,0.0,0,4.0,10,1164,2,2,0.0,0.0,5.0,9.7,0.0,1.0,0
1026,244.3,1,4.0,49,1809,2,3,244.3,81.43333333333334,16.333333333333332,10.05,0.3333333333333333,0.6666666666666666,1
1027,0.0,0,4.0,57,4942,0,4,0.0,0.0,14.25,20.591666666666665,0.0,0.0,0
1028,2328.44,1,4.0,57,4783,3,5,2328.44,465.688,11.4,15.943333333333333,0.2,0.6,1
1029,357.02,1,5.0,17,272,0,1,357.02,357.02,17.0,4.533333333333333,1.0,0.0,1
1030,0.0,0,4.0,26,2377,1,3,0.0,0.0,8.666666666666666,13.205555555555556,0.0,0.3333333333333333,0
1031,2231.42,2,4.25,77,5096,2,4,1115.71,557.855,19.25,21.233333333333334,0.5,0.5,1
