customer_id,total_revenue,total_purchases,avg_rating,total_pages_viewed,total_time_on_site,total_cart_abandoned,total_sessions,cluster
1000,1228.72,1,3.5,35,2028,1,2,1
1001,0.0,0,4.0,15,996,0,1,0
1002,0.0,0,4.0,25,941,2,3,0
1003,1681.96,1,4.333333333333333,17,2086,0,3,1
1004,0.0,0,4.0,37,2771,1,3,0
1005,0.0,0,4.0,42,937,2,3,0
1006,0.0,0,4.0,27,2290,1,2,0
1007,0.0,0,4.0,22,557,0,1,0
1008,1546.42,1,4.0,49,4146,1,5,2
1009,4616.63,3,4.2,55,4033,2,5,2
1011,0.0,0,4.0,43,3577,2,4,0
1012,0.0,0,4.0,38,2100,1,3,0
1013,0.0,0,4.0,39,534,0,2,0
1014,2423.92,1,4.25,47,3940,1,4,2
1015,0.0,0,4.0,3,1405,1,1,0
1016,0.0,0,4.0,2,1523,0,1,0
1017,0.0,0,4.0,20,1131,1,2,0
1018,0.0,0,4.0,22,875,1,1,0
1019,0.0,0,4.0,10,1096,0,1,0
1020,0.0,0,4.0,41,4661,3,4,2
1021,0.0,0,4.0,33,5684,3,5,2
1022,0.0,0,4.0,6,1751,0,1,0
1023,0.0,0,4.0,11,650,1,2,0
1024,0.0,0,4.0,21,1548,0,2,0
1025,0.0,0,4.0,10,1164,2,2,0
1026,244.3,1,4.0,49,1809,2,3,0
1027,0.0,0,4.0,57,4942,0,4,2
1028,2328.44,1,4.0,57,4783,3,5,2
1029,357.02,1,5.0,17,272,0,1,1
1030,0.0,0,4.0,26,2377,1,3,0
1031,2231.42,2,4.25,77,5096,2,4,2
1032,0.0,0,4.0,45,3895,1,4,0
1033,571.06,1,4.2,85,2401,1,5,2
1034,0.0,0,4.0,19,1748,1,1,0
1035,325.77,1,4.0,49,2932,2,4,2
1036,395.17,1,4.333333333333333,41,510,1,3,0
1037,0.0,0,4.0,64,4348,2,4,2
1038,4503.98,1,4.0,31,4304,2,4,1
1039,1852.98,2,4.25,76,4586,1,4,2
1040,7417.69,2,3.6,25,5080,3,5,2
1041,1296.48,1,3.5,38,2083,1,2,1
1042,4330.68,3,4.4,71,2626,2,5,2
1043,0.0,0,4.0,17,152,1,1,0
1044,1008.62,2,3.5714285714285716,72,6220,3,7,2
1045,0.0,0,4.0,32,1736,1,2,0
1046,0.0,0,4.0,36,1384,0,3,0
1047,922.92,1,4.2,49,3916,2,5,2
1048,0.0,0,4.0,40,5097,2,3,2
1049,0.0,0,4.0,53,3807,2,4,2
1050,0.0,0,4.0,34,2418,2,3,0
1051,0.0,0,4.0,49,2145,1,3,0
1052,0.0,0,4.0,64,4683,4,6,2
1053,0.0,0,4.0,9,1385,0,1,0
1054,2322.16,1,4.0,61,2675,1,5,2
1055,0.0,0,4.0,34,3050,1,2,0
1056,345.71,1,4.0,19,375,0,1,1
1057,0.0,0,4.0,40,4057,1,4,0
1058,6257.73,2,3.3333333333333335,50,2710,0,3,1
1059,0.0,0,4.0,35,1894,1,2,0
1060,0.0,0,4.0,10,1131,0,1,0
1061,0.0,0,4.0,21,2438,2,2,0
1062,5304.35,2,3.6666666666666665,57,3096,0,3,1
1063,0.0,0,4.0,45,2742,2,3,0
1064,0.0,0,4.0,17,1377,1,1,0
1065,7889.36,1,5.0,6,1586,0,1,1
1066,3654.18,1,4.0,23,3408,2,4,1
1067,2032.07,1,4.25,44,3557,3,4,2
1068,0.0,0,4.0,16,1857,1,2,0
1069,0.0,0,4.0,15,1810,0,3,0
1070,0.0,0,4.0,29,3071,0,3,0
1071,1331.9,1,4.0,75,5588,1,5,2
1072,0.0,0,4.0,7,1566,1,1,0
1073,0.0,0,4.0,23,774,2,2,0
1074,0.0,0,4.0,5,856,1,1,0
1075,0.0,0,4.0,43,2584,1,2,0
1076,1449.62,1,3.5,77,3529,2,4,2
1077,1959.6,1,4.0,21,1578,1,3,1
1078,490.0,1,4.0,9,2654,0,2,1
1079,4252.77,1,3.5,29,4872,2,4,1
1080,2111.96,1,4.25,26,3062,0,4,1
1081,0.0,0,4.0,2,910,1,1,0
1082,1601.42,1,4.0,29,4304,2,3,2
1083,1056.76,1,4.0,33,3705,2,4,2
1084,3648.04,1,3.6666666666666665,22,3167,1,3,1
1086,1236.24,1,3.6666666666666665,37,1573,1,3,1
1087,222.61,1,4.0,53,2853,0,3,1
1088,0.0,0,4.0,1,1666,1,1,0
1089,2169.46,1,4.0,49,2569,2,3,2
1090,3331.6,1,4.0,102,5437,3,7,2
1091,0.0,0,4.0,59,4021,2,4,2
1092,2987.93,1,4.5,25,346,1,2,1
1093,0.0,0,4.0,3,193,0,1,0
1094,0.0,0,4.0,13,2471,1,2,0
1095,3681.54,2,4.0,11,1422,1,3,1
1096,4912.93,2,4.0,64,3386,1,4,1
1097,0.0,0,4.0,12,3259,1,2,0
1098,0.0,0,4.0,38,3864,2,3,0
1099,2717.82,1,4.2,84,4290,3,5,2
1100,788.77,2,2.5,10,1976,0,2,1
1101,1339.45,1,2.0,14,168,0,1,1
1102,0.0,0,4.0,44,4366,1,3,0
1104,0.0,0,4.0,15,809,1,1,0
1105,1244.58,1,4.0,67,3047,2,4,2
