CustomerID,Age,Gender,Location,DeviceType,TrafficSource,PagesViewed,TimeOnSite,ProductsViewed,CartItems,PreviousPurchases,AverageOrderValue,DiscountUsed,EmailClicked,AdClicked,ReviewScoreViewed,DaysSinceLastVisit,SessionCount,Purchase
1,40,Female,South,Desktop,Direct,6,240.7,4,1,1,86.58,1,1,0,3.41,8,4,1
2,33,Female,East,Desktop,Direct,5,520.0,3,2,4,48.12,0,0,0,3.64,7,2,1
3,42,Female,East,Mobile,Search,11,123.5,3,4,4,53.87,0,1,0,3.79,8,4,1
4,52,Female,Central,Mobile,Social,3,128.2,6,0,0,47.39,0,0,1,4.14,15,6,1
5,32,Male,South,Mobile,Social,12,153.6,4,0,3,79.36,0,1,0,4.22,3,3,0
6,32,Female,North,Mobile,Search,11,69.1,5,2,0,36.86,0,0,1,4.11,0,6,0
7,52,Female,East,Desktop,Search,3,32.5,4,0,2,25.33,0,0,0,3.81,7,5,0
8,43,Female,West,Mobile,Social,10,79.5,7,2,1,46.62,0,0,0,4.28,2,2,0
9,30,Female,North,Desktop,Search,10,45.9,2,3,2,42.39,0,0,0,3.49,15,2,1
10,41,Male,East,Mobile,Search,6,109.7,9,2,2,67.84,1,1,0,3.62,13,4,0
11,30,Other,North,Desktop,Social,8,140.0,3,2,0,40.24,0,1,0,4.34,85,4,0
12,30,Female,North,Desktop,Direct,8,50.4,2,0,0,34.5,0,0,0,3.95,0,3,0
13,38,Male,East,Desktop,Direct,6,136.1,5,2,1,29.1,1,0,0,3.65,15,5,0
14,16,Male,South,Mobile,Social,7,175.4,3,0,1,48.63,0,1,0,4.41,8,1,1
15,16,Female,Central,Mobile,Social,6,249.0,5,0,1,46.24,0,0,0,4.11,71,1,0
16,29,Male,East,Desktop,Social,10,109.7,6,1,1,56.61,0,1,0,3.81,16,3,0
17,24,Male,East,Mobile,Search,12,82.0,4,2,2,19.77,0,0,0,4.02,21,6,1
18,38,Male,South,Mobile,Search,10,68.6,2,1,1,82.82,1,0,1,4.33,51,7,0
19,25,Male,East,Mobile,Direct,6,144.9,2,2,0,15.91,0,0,0,4.18,2,6,0
20,19,Female,North,Desktop,Social,10,203.0,4,2,1,98.14,0,0,1,3.67,32,4,1
21,51,Male,Central,Desktop,Direct,10,155.0,4,2,2,128.56,0,0,0,2.63,5,2,1
22,33,Male,Central,Desktop,Direct,10,123.7,4,1,4,12.07,0,0,0,3.67,7,4,1
